b0002, thrA
b0003, thrB
b0004, thrC
b0007, yaaJ
b0008, talB
b0019, nhaA
b0020, nhaR
b0025, ribF
b0029, lytB
b0031, dapB
b0032, carA
b0033, carB
b0034, caiF
b0036, caiD
b0038, caiB
b0040, caiT
b0048, folA
b0049, apaH
b0052, pdxA
b0061, araD
b0062, araA
b0063, araB
b0064, araC
b0066, sfuC
b0067, sfuB
b0068, sfuA
b0071, leuD
b0072, leuC
b0073, leuB
b0074, leuA
b0077, ilvI
b0078, ilvH
b0080, fruR
b0085, murE
b0086, murF
b0087, mraY
b0088, murD
b0090, murG
b0091, murC
b0092, ddlB
b0096, lpxC
b0099, mutT
b0104, guaC
b0109, nadC
b0112, aroP
b0113, pdhR
b0114, aceE
b0115, aceF
b0116, lpdA
b0118, acnB
b0120, speD
b0121, speE
b0124, gcd
b0125, hpt
b0126, yadF
b0131, panD
b0133, panC
b0134, panB
b0142, folK
b0154, hemL
b0158, yadT
b0159, mtn
b0160, dgt
b0162, sdaR
b0166, dapD
b0167, glnD
b0171, pyrH
b0173, dxr
b0174, uppS
b0175, cdsA
b0179, lpxD
b0180, fabZ
b0181, lpxA
b0182, lpxB
b0185, accA
b0186, ldcC
b0197, yaeC
b0198, yaeE
b0199, abc
b0200, yaeD
b0207, yafB
b0212, gloB
b0221, fadF
b0222, gmhA
b0238, gpt
b0242, proB
b0243, proA
b0273, argF
b0312, betB
b0313, betI
b0314, betT
b0323, yahI
b0331, prpB
b0333, prpC
b0334, prpD
b0335, prpE
b0336, codB
b0337, codA
b0338, cynR
b0339, cynT
b0340, cynS
b0341, cynX
b0343, lacY
b0344, lacZ
b0345, lacI
b0346, mhpR
b0347, mhpA
b0348, mhpB
b0349, mhpC
b0350, mhpD
b0351, mhpF
b0352, mhpE
b0353, mhpT
b0356, adhC
b0365, tauA
b0366, tauB
b0367, tauC
b0368, tauD
b0369, hemB
b0381, ddlA
b0386, proC
b0388, aroL
b0399, phoB
b0400, phoR
b0401, brnQ
b0403, malZ
b0414, ribD
b0415, ribH
b0417, thiL
b0418, pgpA
b0420, dxs
b0421, ispA
b0423, thiI
b0425, panE
b0428, cyoE
b0429, cyoD
b0430, cyoC
b0431, cyoB
b0432, cyoA
b0451, amtB
b0469, apt
b0474, adk
b0475, hemH
b0477, gsk
b0480, ushA
b0485, ybaS
b0504, ybbS
b0505, allA
b0506, allR
b0507, gcl
b0508, hyi
b0509, glxR
b0511, allP
b0512, allB
b0514, glxK
b0516, allC
b0521, arcC
b0522, purK
b0523, purE
b0529, folD
b0564, appY
b0576, pheP
b0583, entD
b0586, entF
b0593, entC
b0594, entE
b0595, entB
b0596, entA
b0612, citT
b0615, citF
b0616, citE
b0617, citD
b0619, dpiB
b0620, dpiA
b0621, dcuC
b0638, phpB
b0639, nadD
b0652, gltL
b0653, gltK
b0654, gltJ
b0655, gltI
b0662, ubiF
b0674, asnB
b0676, nagC
b0677, nagA
b0678, nagB
b0679, nagE
b0683, fur
b0688, pgm
b0692, potE
b0693, speF
b0694, kdpE
b0695, kdpD
b0696, kdpC
b0697, kdpB
b0698, kdpA
b0720, gltA
b0721, sdhC
b0722, sdhD
b0723, sdhA
b0724, sdhB
b0726, sucA
b0727, sucB
b0728, sucC
b0729, sucD
b0733, cydA
b0734, cydB
b0750, nadA
b0751, pnuC
b0754, aroG
b0755, gpmA
b0757, galK
b0758, galT
b0759, galE
b0774, bioA
b0775, bioB
b0776, bioF
b0778, bioD
b0809, glnQ
b0810, glnP
b0811, glnH
b0825, fsa
b0828, ybiK
b0840, deoR
b0854, potF
b0855, potG
b0856, potH
b0857, potI
b0860, artJ
b0861, artM
b0862, artQ
b0864, artP
b0870, ltaA
b0871, poxB
b0888, trxB
b0889, lrp
b0894, dmsA
b0895, dmsB
b0896, dmsC
b0902, pflA
b0903, pflB
b0904, focA
b0907, serC
b0908, aroA
b0910, cmk
b0915, lpxK
b0918, kdsB
b0928, aspC
b0931, pncB
b0945, pyrD
b0954, fabA
b0963, mgsA
b0972, hyaA
b0973, hyaB
b0974, hyaC
b0993, torS
b0995, torR
b0996, torC
b0997, torA
b1002, agp
b1006, ycdG
b1014, putA
b1015, putP
b1033, ycdW
b1054, lpxL
b1062, pyrC
b1091, fabH
b1092, fabD
b1093, fabG
b1095, fabF
b1096, pabC
b1098, tmk
b1101, ptsG
b1109, ndh
b1123, potD
b1124, potC
b1125, potB
b1126, potA
b1131, purB
b1136, icdA
b1186, nhaB
b1187, fadR
b1189, dadA
b1190, dadX
b1197, treA
b1198, dhaH
b1199, dhaK2
b1200, dhaK1
b1207, prsA
b1208, ispE
b1210, hemA
b1215, kdsA
b1216, chaA
b1221, narL
b1223, narK
b1224, narG
b1225, narH
b1226, narJ
b1227, narI
b1232, purU
b1236, galU
b1238, tdk
b1241, adhE
b1249, cls
b1260, trpA
b1261, trpB
b1262, trpC
b1263, trpD
b1264, trpE
b1270, btuR
b1275, cysB
b1276, acnA
b1277, ribA
b1278, pgpB
b1281, pyrF
b1288, fabI
b1297, ycjK
b1300, aldH
b1302, goaG
b1323, tyrR
b1334, fnr
b1363, trkG
b1380, ldhA
b1384, feaR
b1385, feaB
b1386, tynA
b1398, paaK
b1415, aldA
b1416, gapC_2
b1417, gapC_1
b1440, ydcS
b1441, ydcT
b1442, ydcU
b1443, ydcV
b1469, narU
b1474, fdnG
b1475, fdnH
b1476, fdnI
b1479, sfcA
b1492, xasA
b1493, gadB
b1519, tam
b1521, uxaB
b1524, yneH
b1531, marA
b1584, speG
b1594, mlc
b1602, pntB
b1603, pntA
b1605, arcD
b1611, fumC
b1612, fumA
b1613, manA
b1620, malI
b1621, malX
b1622, malY
b1623, add
b1636, pdxY
b1638, pdxH
b1646, sodC
b1651, gloA
b1656, sodB
b1658, purR
b1662, ribE
b1676, pykF
b1692, ydiB
b1693, aroD
b1702, pps
b1704, aroH
b1709, btuD
b1711, btuC
b1723, pfkB
b1732, katE
b1740, nadE
b1744, astE
b1745, astB
b1746, astD
b1747, astA
b1748, astC
b1761, gdhA
b1764, selD
b1767, ansA
b1768, pncA
b1773, b1773
b1779, gapA
b1801, yeaV
b1805, fadD
b1812, pabB
b1814, sdaA
b1817, manX
b1818, manY
b1819, manZ
b1827, kdgR
b1849, purT
b1850, eda
b1851, edd
b1852, zwf
b1854, pykA
b1855, msbB
b1865, ntpA
b1872, torZ
b1873, torY
b1896, otsA
b1897, otsB
b1898, araH_2
b1899, araH_1
b1900, araG
b1901, araF
b1907, tyrP
b1912, pgsA
b1982, amn
b1987, cbl
b1988, nac
b1991, cobT
b1992, cobS
b1993, cobU
b2019, hisG
b2020, hisD
b2021, hisC
b2022, hisB
b2023, hisH
b2024, hisA
b2025, hisF
b2026, hisI
b2028, ugd
b2029, gnd
b2036, glf
b2038, rfbC
b2039, rfbA
b2040, rfbD
b2041, rfbB
b2042, galF
b2045, wcaK
b2048, cpsG
b2049, manC
b2052, fcl
b2053, gmd
b2065, dcd
b2066, udk
b2087, gatR_1
b2090, gatR_2
b2091, gatD
b2092, gatC
b2093, gatB
b2094, gatA
b2095, gatZ
b2096, gatY
b2097, fbaB
b2103, thiD
b2104, thiM
b2128, yehW
b2129, yehX
b2130, yehY
b2131, yehZ
b2132, bglX
b2133, dld
b2143, cdd
b2148, mglC
b2149, mglA
b2150, mglB
b2151, galS
b2153, folE
b2156, lysP
b2167, fruA
b2168, fruK
b2169, fruB
b2210, mqo
b2219, atoS
b2220, atoC
b2221, atoD
b2222, atoA
b2223, atoE
b2224, atoB
b2232, ubiG
b2234, nrdA
b2235, nrdB
b2239, glpQ
b2240, glpT
b2241, glpA
b2242, glpB
b2243, glpC
b2260, menE
b2261, menC
b2262, menB
b2264, menD
b2265, menF
b2276, nuoN
b2277, nuoM
b2278, nuoL
b2279, nuoK
b2280, nuoJ
b2281, nuoI
b2282, nuoH
b2283, nuoG
b2284, nuoF
b2285, nuoE
b2286, nuoC
b2287, nuoB
b2288, nuoA
b2296, ackA
b2297, pta
b2306, hisP
b2307, hisM
b2308, hisQ
b2309, hisJ
b2310, argT
b2311, ubiX
b2312, purF
b2315, folC
b2316, accD
b2320, pdxB
b2323, fabB
b2329, aroC
b2344, fadL
b2364, dsdC
b2366, dsdA
b2378, lpxP
b2388, glk
b2393, nupC
b2400, gltX
b2405, xapR
b2406, xapB
b2407, xapA
b2411, lig
b2413, cysZ
b2414, cysK
b2415, ptsH
b2416, ptsI
b2417, crr
b2418, pdxK
b2421, cysM
b2422, cysA
b2423, cysW
b2424, cysU
b2425, cysP
b2429, yfeV
b2436, hemF
b2440, eutC
b2441, eutB
b2458, eutD
b2463, maeB
b2464, talA
b2465, tktB
b2472, dapE
b2476, purC
b2478, dapA
b2479, gcvR
b2492, focB
b2497, uraA
b2498, upp
b2499, purM
b2500, purN
b2507, guaA
b2508, guaB
b2515, gcpE
b2518, ndk
b2530, iscS
b2533, suhB
b2536, hcaT
b2537, hcaR
b2538, hcaE
b2539, hcaF
b2540, hcaC
b2541, hcaB
b2542, hcaD
b2551, glyA
b2553, glnB
b2557, purL
b2563, acpS
b2564, pdxJ
b2573, rpoE
b2574, nadB
b2585, pssA
b2587, kgtP
b2599, pheA
b2600, tyrA
b2601, aroF
b2615, yfjB
b2661, gabD
b2662, gabT
b2663, gabP
b2675, nrdE
b2676, nrdF
b2677, proV
b2678, proW
b2679, proX
b2687, luxS
b2688, gshA
b2690, yqaB
b2702, srlA
b2703, srlE
b2704, srlB
b2705, srlD
b2706, gutM
b2707, srlR
b2719, hycG
b2720, hycF
b2721, hycE
b2722, hycD
b2723, hycC
b2724, hycB
b2731, fhlA
b2738, ygbL
b2741, rpoS
b2746, ispF
b2747, ispD
b2750, cysC
b2751, cysN
b2752, cysD
b2762, cysH
b2763, cysI
b2764, cysJ
b2779, eno
b2780, pyrG
b2781, mazG
b2787, gudD
b2788, ygcY
b2789, gudP
b2796, sdaC
b2797, sdaB
b2799, fucO
b2800, fucA
b2801, fucP
b2802, fucI
b2803, fucK
b2805, fucR
b2808, gcvA
b2818, argA
b2827, thyA
b2836, aas
b2837, galR
b2838, lysA
b2839, lysR
b2841, araE
b2874, yqeA
b2883, ygfP
b2889, idi
b2901, bglA
b2903, gcvP
b2904, gcvH
b2905, gcvT
b2907, ubiH
b2913, serA
b2914, rpiA
b2917, sbm
b2919, ygfG
b2920, ygfH
b2925, fbaA
b2926, pgk
b2927, epd
b2935, tktA
b2937, speB
b2938, speA
b2942, metK
b2943, galP
b2947, gshB
b2957, ansB
b2964, nupG
b2965, speC
b2975, glcA
b2976, glcB
b2978, glcF
b2979, glcD
b2980, glcC
b2987, pitB
b2988, gsp
b2994, hybC
b2997, hybO
b3008, metC
b3012, yqhE
b3018, plsC
b3041, ribB
b3052, rfaE
b3058, folB
b3061, ttdA
b3062, ttdB
b3063, ygjE
b3073, ygjG
b3089, sstT
b3091, uxaA
b3092, uxaC
b3093, exuT
b3094, exuR
b3111, tdcGa
b3112, tdcGb
b3114, tdcE
b3115, tdcD
b3116, tdcC
b3117, tdcB
b3118, tdcA
b3119, tdcR
b3124, garK
b3125, garR
b3126, garL
b3127, garP
b3128, garD
b3132, agaZ
b3137, agaY
b3161, mtr
b3172, argG
b3176, mrsA
b3177, folP
b3187, ispB
b3189, murA
b3202, rpoN
b3212, gltB
b3213, gltD
b3222, nanK
b3223, nanE
b3224, nanT
b3225, nanA
b3236, mdh
b3237, argR
b3255, accB
b3256, accC
b3258, panF
b3261, fis
b3265, acrE
b3266, acrF
b3281, aroE
b3357, crp
b3359, argD
b3360, pabA
b3365, nirB
b3366, nirD
b3367, nirC
b3368, cysG
b3380, yhfW
b3385, gph
b3386, rpe
b3389, aroB
b3390, aroK
b3403, pckA
b3405, ompR
b3409, feoB
b3415, gntT
b3416, malQ
b3417, malP
b3418, malT
