b0002, thrA, !(M_thr__L_e | M_ile__L_e)
b0003, thrB, !(M_thr__L_e | M_ile__L_e)
b0004, thrC, !(M_thr__L_e | M_ile__L_e)
b0019, nhaA, (NhaR | RpoS)
b0020, nhaR, M_na1_e
b0031, dapB, !M_lys__L_e
b0032, carA, !ArgR
b0033, carB, !ArgR
b0034, caiF, (Fnr & Crp & !NarL)
b0036, caiD, (Crp & CaiF)
b0038, caiB, (Crp & CaiF)
b0040, caiT, (Crp & CaiF)
b0052, pdxA, RpoE
b0061, araD, (AraC | (AraC & Crp))
b0062, araA, (AraC | (AraC & Crp))
b0063, araB, (AraC | (AraC & Crp))
b0064, araC, M_arab__L_e
b0071, leuD, (!M_leu__L_e | Lrp)
b0072, leuC, (!M_leu__L_e | Lrp)
b0073, leuB, (!M_leu__L_e | Lrp)
b0074, leuA, (!M_leu__L_e | Lrp)
b0077, ilvI, (Lrp & !M_leu__L_e)
b0078, ilvH, (Lrp & !M_leu__L_e)
b0080, fruR, !Surplus_FDP
b0104, guaC, !(M_gln__L_e | M_gua_e)
b0112, aroP, !(TyrR & (M_phe__L_e | M_tyr__L_e | M_trp__L_e))
b0113, pdhR, !Surplus_PYR
b0114, aceE, (!PdhR | Fis)
b0115, aceF, (!PdhR | Fis)
b0116, lpdA, 1
b0118, acnB, 1
b0124, gcd, !Crp
b0125, hpt, Crp
b0162, sdaR, (M_glcr_e | M_galct__D_e)
b0167, glnD, Lrp
b0180, fabZ, (!"Stringent" | CpxR | RpoE | FadR2)
b0197, yaeC, !MetJ
b0198, yaeE, !(MetJ
b0199, abc, !MetJ
b0221, fadF, (!FadR2 | !ArcA)
b0273, argF, !ArgR
b0312, betB, !(ArcA | BetI)
b0313, betI, M_chol_e
b0314, betT, !BetI
b0331, prpB, M_ppa_e
b0333, prpC, M_ppa_e
b0334, prpD, M_ppa_e
b0335, prpE, M_ppa_e
b0336, codB, (!PurR | NRI_hi)
b0337, codA, (!PurR | NRI_hi)
b0338, cynR, M_cynt_e
b0340, cynS, CynR
b0341, cynX, M_cynt_e
b0343, lacY, (CRP_noGLC & !LacI)
b0344, lacZ, (CRP_noGLC & !LacI)
b0345, lacI, !M_lcts_e
b0346, mhpR, M_3hpppn_e
b0347, mhpA, MhpR
b0348, mhpB, MhpR
b0349, mhpC, MhpR
b0350, mhpD, MhpR
b0351, mhpF, MhpR
b0352, mhpE, MhpR
b0365, tauA, (Cbl & CysB)
b0366, tauB, (Cbl & CysB)
b0367, tauC, (Cbl & CysB)
b0368, tauD, (Cbl & CysB)
b0388, aroL, !((TyrR & M_tyr__L_e) | (TyrR & M_tyr__L_e & TrpR))
b0399, phoB, PhoR
b0400, phoR, [M_pi_e < 0.000000004]
b0403, malZ, MalT
b0428, cyoE, !(ArcA | Fnr)
b0429, cyoD, !(ArcA | Fnr)
b0430, cyoC, !(ArcA | Fnr)
b0431, cyoB, !(ArcA | Fnr)
b0432, cyoA, !(ArcA | Fnr)
b0504, ybbS, (!M_o2_e & !AllR & !M_nh4_e)
b0505, allA, !AllR
b0506, allR, 0 // glyoxylate is the inactivator
b0507, gcl, !AllR
b0509, glxR, !AllR
b0512, allB, !AllR
b0514, glxK, !AllR
b0516, allC, AllS
b0522, purK, !PurR
b0523, purE, !PurR
b0564, appY, !CitB
b0583, entD, !Fur
b0593, entC, !Fur
b0594, entE, !Fur
b0595, entB, !Fur
b0596, entA, !Fur
b0612, citT, (CitB & !M_o2_e)
b0615, citF, CitB
b0616, citE, CitB
b0617, citD, CitB
b0619, dpiB, M_cit_e
b0620, dpiA, CitA
b0621, dcuC, (Fnr | ArcA)
b0652, gltL, !M_glc__D_e
b0653, gltK, !M_glc__D_e
b0654, gltJ, !M_glc__D_e
b0655, gltI, !M_glc__D_e
b0676, nagC, !(M_acgam_e | [R_AGDC > 0])
b0677, nagA, !NagC
b0678, nagB, (!NagC | M_gam_e)
b0679, nagE, !NagC
b0683, fur, (M_fe2_e & (OxyR | SoxS))
b0694, kdpE, KdpD
b0695, kdpD, ![M_k_e > 1]
b0696, kdpC, KdpE
b0697, kdpB, KdpE
b0698, kdpA, KdpE
b0721, sdhC, (!(ArcA | Fnr) | Crp | Fis)
b0722, sdhD, (!(ArcA | Fnr) | Crp | Fis)
b0723, sdhA, (!(ArcA | Fnr) | Crp | Fis)
b0724, sdhB, (!(ArcA | Fnr) | Crp | Fis)
b0733, cydA, (!Fnr | ArcA)
b0734, cydB, (!Fnr | ArcA)
b0754, aroG, !((M_phe__L_e | M_trp__L_e) & TyrR)
b0757, galK, (!M_glc__D_e & !(GalR | GalS) | !Rob)
b0758, galT, (!M_glc__D_e & !(GalR | GalS) | !Rob)
b0759, galE, (!M_glc__D_e & !(GalR | GalS) | !Rob)
b0774, bioA, !BirA
b0775, bioB, !BirA
b0776, bioF, !BirA
b0778, bioD, !BirA
b0840, deoR, !([R_PPM2 > 0] | [R_PPM2 < 0])
b0871, poxB, (![R_Growth > 0] & RpoS)
b0889, lrp, !M_leu__L_e
