R_EX_12ppd_S_e_,-10,10
R_EX_15dap_e_,-10,10
R_EX_26dap_M_e_,-10,10
R_EX_2ddglcn_e_,-10,10
R_EX_3hcinnm_e_,-10,10
R_EX_3hpppn_e_,-10,10
R_EX_4abut_e_,-10,10
R_EX_ac_e_,-2.5,1000
R_EX_acac_e_,-10,10
R_EX_acald_e_,-10,10
R_EX_acgam_e_,-10,10
R_EX_acmana_e_,-10,10
R_EX_acnam_e_,-10,10
R_EX_ade_e_,-10,10
R_EX_adn_e_,-10,10
R_EX_akg_e_,-10,10
R_EX_ala_D_e_,-10,10
R_EX_ala_L_e_,-10,10
R_EX_alltn_e_,-10,10
R_EX_amp_e_,-10,10
R_EX_arab_L_e_,-10,10
R_EX_arg_L_e_,-10,10
R_EX_asn_L_e_,-10,10
R_EX_asp_L_e_,-10,10
R_EX_but_e_,-10,10
R_EX_cbl1_e_,-10,10
R_EX_chol_e_,-10,10
R_EX_cit_e_,-10,10
R_EX_co2_e_,-1000,10
R_EX_crn_e_,-10,10
R_EX_csn_e_,-10,10
R_EX_cynt_e_,-10,10
R_EX_cys_L_e_,-10,10
R_EX_cytd_e_,-10,10
R_EX_dad_2_e_,-10,10
R_EX_dcyt_e_,-10,10
R_EX_dgsn_e_,-10,10
R_EX_dha_e_,-10,10
R_EX_din_e_,-10,10
R_EX_dms_e_,-20,10
R_EX_dmso_e_,-20,20
R_EX_duri_e_,-10,20
R_EX_etoh_e_,-11.3,1000
R_EX_fe2_e_,-10,10
R_EX_for_e_,-11.3,1000
R_EX_fru_e_,-10,10
R_EX_fuc1p_L_e_,-10,10
R_EX_fuc_L_e_,-10,10
R_EX_fum_e_,-10,10
R_EX_g6p_e_,-10,10
R_EX_gal_e_,-10,10
R_EX_galct_D_e_,-10,10
R_EX_galctn_D_e_,-10,10
R_EX_galt_e_,-10,10
R_EX_galur_e_,-10,10
R_EX_gam_e_,-10,10
R_EX_gbbtn_e_,-10,10
R_EX_glc_e_,-10,1000
R_EX_glcn_e_,-10,10
R_EX_glcr_e_,-10,10
R_EX_glcur_e_,-10,10
R_EX_gln_L_e_,-10,10
R_EX_glu_L_e_,-10,10
R_EX_gly_e_,-10,10
R_EX_glyald_e_,-10,10
R_EX_glyb_e_,-10,10
R_EX_glyc_e_,-11.3,1000
R_EX_glyc3p_e_,-10,10
R_EX_glyclt_e_,-10,10
R_EX_gsn_e_,-10,10
R_EX_gua_e_,-10,10
R_EX_h_e_,-1000,1000
R_EX_h2o_e_,-1000,1000
R_EX_h2s_e_,-10,10
R_EX_hdca_e_,-10,10
R_EX_his_L_e_,-10,10
R_EX_hxan_e_,-10,10
R_EX_idon_L_e_,-10,10
R_EX_ile_L_e_,-10,10
R_EX_indole_e_,-10,10
R_EX_ins_e_,-10,10
R_EX_k_e_,-10,10
R_EX_lac_D_e_,-11.3,1000
R_EX_lac_L_e_,-10,10
R_EX_lcts_e_,-3,1000
R_EX_leu_L_e_,-10,10
R_EX_lys_L_e_,-10,10
R_EX_mal_L_e_,-10,10
R_EX_malt_e_,-10,10
R_EX_malthx_e_,-10,10
R_EX_maltpt_e_,-10,10
R_EX_malttr_e_,-10,10
R_EX_maltttr_e_,-10,10
R_EX_man_e_,-10,10
R_EX_man6p_e_,-10,10
R_EX_melib_e_,-10,10
R_EX_met_D_e_,-10,10
R_EX_met_L_e_,-10,10
R_EX_mnl_e_,-10,10
R_EX_na1_e_,-10,10
R_EX_nac_e_,-10,10
R_EX_nad_e_,-10,10
R_EX_nh4_e_,-10,10
R_EX_nmn_e_,-10,10
R_EX_no2_e_,-10,10
R_EX_no3_e_,-10,10
R_EX_o2_e_,-10,1000
R_EX_ocdca_e_,-10,10
R_EX_orn_e_,-10,10
R_EX_phe_L_e_,-10,10
R_EX_pi_e_,-10,1000
R_EX_pnto_R_e_,-10,10
R_EX_pppn_e_,-10,10
R_EX_pro_L_e_,-10,10
R_EX_ptrc_e_,-10,10
R_EX_pyr_e_,-11.3,1000
R_EX_rib_D_e_,-11.3,1000
R_EX_rmn_e_,-10,10
R_EX_sbt_D_e_,-10,10
R_EX_ser_D_e_,-10,10
R_EX_ser_L_e_,-10,10
R_EX_so4_e_,-10,10
R_EX_spmd_e_,-10,10
R_EX_succ_e_,-11.3,1000
R_EX_sucr_e_,-10,10
R_EX_tartr_L_e_,-10,10
R_EX_taur_e_,-10,10
R_EX_thm_e_,-10,10
R_EX_thr_L_e_,-10,10
R_EX_thymd_e_,-10,10
R_EX_tma_e_,-20,20
R_EX_tmao_e_,-20,20
R_EX_tre_e_,-10,10
R_EX_trp_L_e_,-10,10
R_EX_tsul_e_,-10,10
R_EX_ttdca_e_,-10,10
R_EX_tyr_L_e_,-10,10
R_EX_ura_e_,-10,10
R_EX_urea_e_,-10,10
R_EX_uri_e_,-10,10
R_EX_val_L_e_,-10,10
R_EX_xan_e_,-10,10
R_EX_xtsn_e_,-10,10
R_EX_xyl_D_e_,-10,10
