ID,GeneAssociation,Fullname,Reaction,LowBound,UpBound
R_2DGLCNRx, b3553, "2-dehydro-D-gluconate reductase (NADH)", M_2dhglcn_c + M_h_c + M_nadh_c -> M_glcn_c + M_nad_c, 0.0, 999999.0
R_CPPPGO, b2436, "Coproporphyrinogen oxidase (O2 required)", M_cpppg3_c + 2.0 M_h_c + M_o2_c -> 2.0 M_co2_c + 2.0 M_h2o_c + M_pppg9_c, 0.0, 999999.0
R_PTAr, (b2297 | b2458), "Phosphotransacetylase", M_accoa_c + M_pi_c <-> M_actp_c + M_coa_c, -999999.0, 999999.0
R_ACCOAL, b0335, "Acetate-CoA ligase (ADP-forming)", M_atp_c + M_coa_c + M_ppa_c -> M_adp_c + M_pi_c + M_ppcoa_c, 0.0, 999999.0
R_NTD8, b0480, "5'-nucleotidase (dGMP)", M_dgmp_c + M_h2o_c -> M_dgsn_c + M_pi_c, 0.0, 999999.0
R_NTPTP2, b0160, "Nucleoside triphosphate tripolyhydrolase", M_gtp_c + M_h2o_c -> M_gsn_c + M_pppi_c, 0.0, 999999.0
R_IDONt2r, b4265, "L-idonate transport via proton symport, reversible", M_h_e + M_idon__L_e <-> M_h_c + M_idon__L_c, -999999.0, 999999.0
R_MALt2_3, (b4123 | b4138), "Malate transport via proton symport (3 H)", 3.0 M_h_e + M_mal__L_e -> 3.0 M_h_c + M_mal__L_c, 0.0, 999999.0
R_NTD4, b0480, "5'-nucleotidase (CMP)", M_cmp_c + M_h2o_c -> M_cytd_c + M_pi_c, 0.0, 999999.0
R_MLTG2, b0403, "Maltodextrin glucosidase (maltotetraose)", M_h2o_c + M_maltttr_c -> M_glc__D_c + M_malttr_c, 0.0, 999999.0
R_G3PD7, (b2242 & b2241 & b2243), "Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8)", M_2dmmq8_c + M_glyc3p_c -> M_2dmmql8_c + M_dhap_c, 0.0, 999999.0
R_MNLpts, (b2415 & b2416 & b3599), "Mannitol transport via PEP:Pyr PTS", M_mnl_e + M_pep_c -> M_mnl1p_c + M_pyr_c, 0.0, 999999.0
R_OCDCAt2, b2344, "Octadecanoate transport via proton symport", M_h_e + M_ocdca_e -> M_h_c + M_ocdca_c, 0.0, 999999.0
R_G1PACT, b3730, "Glucosamine-1-phosphate N-acetyltransferase", M_accoa_c + M_gam1p_c -> M_acgam1p_c + M_coa_c + M_h_c, 0.0, 999999.0
R_NAMNPP, b0931, "Nicotinic acid mononucleotide pyrophosphorylase", M_atp_c + M_h2o_c + M_nac_c + M_prpp_c -> M_adp_c + M_nicrnt_c + M_pi_c + M_ppi_c, 0.0, 999999.0
R_ACOTA, b3359, "Acetylornithine transaminase", M_acorn_c + M_akg_c <-> M_acg5sa_c + M_glu__L_c, -999999.0, 999999.0
R_FUM, (b1612 | b1611 | b4122), "Fumarase", M_fum_c + M_h2o_c <-> M_mal__L_c, -999999.0, 999999.0
R_NTD6, b0480, "5'-nucleotidase (dAMP)", M_damp_c + M_h2o_c -> M_dad_2_c + M_pi_c, 0.0, 999999.0
R_UAPGR, b3972, "UDP-N-acetylenolpyruvoylglucosamine reductase", M_h_c + M_nadph_c + M_uaccg_c -> M_nadp_c + M_uamr_c, 0.0, 999999.0
R_XANt2, b3654, "Xanthine transport in via proton symport", M_h_e + M_xan_e -> M_h_c + M_xan_c, 0.0, 999999.0
R_AMPMS, b3994, "4-amino-2-methyl-5-phosphomethylpyrimidine synthetase", M_air_c + M_h2o_c -> M_4ampm_c + 2.0 M_for_c + 4.0 M_h_c, 0.0, 999999.0
R_HISTP, b2022, "Histidinol-phosphatase", M_h2o_c + M_hisp_c -> M_histd_c + M_pi_c, 0.0, 999999.0
R_TRE6PP, b1897, "Trehalose-phosphatase", M_h2o_c + M_tre6p_c -> M_pi_c + M_tre_c, 0.0, 999999.0
R_HOPNTAL, b0352, "4-hydroxy-2-oxopentanoate aldolase", M_4h2opntn_c -> M_acald_c + M_pyr_c, 0.0, 999999.0
R_EX_acgam_e, , "N-Acetyl-D-glucosamine exchange", M_acgam_e <-> M_acgam_b, -999999.0, 999999.0
R_URAt2_copy2, b1006, "Uracil transport in via proton symport", M_h_e + M_ura_e <-> M_h_c + M_ura_c, -999999.0, 999999.0
R_G1SAT, b0154, "Glutamate-1-semialdehyde aminotransferase", M_glu1sa_c -> M_5aop_c, 0.0, 999999.0
